rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
164,"spotify:track:059bcIhyc2SBwm6sw2AZzd","Piso 21, Micro TDH","Te Vi","WM Mexico",17,87,378,"32030"
165,"spotify:track:0EJu1RBtxzldMG2peczuPv","Paloma Mami","No Te Enamores","Sony Music Latin",1,105,377,"32000"
166,"spotify:track:7Jt7x2PyxQTZ3RjO3qIdOZ","Santaferia","La espina","Santaferia",118,-1,158,"31866"
167,"spotify:track:15T3otpUnJKin5njR8x0Tx","Los Prisioneros","El Baile De Los Que Sobran","EMI CHILE",20,-1,62,"31750"
168,"spotify:track:4BCPItsB94KDLuERZT3aNM","TINI, Lalo Ebratt","Fresa","5020 Records",58,91,116,"31657"
169,"spotify:track:0K1XXuhaJBPWMcgjj3ug3u","Juan Luis Guerra 4.40","Las Avispas","Blessed Publishing LLC / Juan Luis Guerra",163,-1,2,"31582"
170,"spotify:track:2EEmzqzM70CybVspgM7YRT","Mau y Ricky, Camilo, Lunay","La Boca - Remix","Sony Music Latin",28,96,169,"31406"
171,"spotify:track:3IUDbYtEWMnZpfYcXVMSq9","Sonora Malecón, Lucho Lambis","Impostora","Discos Fuentes",125,-1,2,"31284"
172,"spotify:track:6RUEWqkS2N52Mk6epH9E40","Rafaga","La Luna y Tu","Leader Music",172,-1,1,"31234"
173,"spotify:track:0qe8ejgap3s39vLXc4K4dU","Chayanne, Pedro Del Moral, David Ferrero","Salome - Club Mix-Radio Edit","Sony Music Latin",173,-1,1,"31186"
174,"spotify:track:6ifUES3keWjwXgae8pXI3o","Danny Ocean","Me Rehúso","Atlantic Records",1,133,1067,"30954"
175,"spotify:track:7mWFF4gPADjTQjC97CgFVt","Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA","Baila Baila Baila - Remix","VP Records Corp/Dimelo Vi",11,111,252,"30799"
176,"spotify:track:44JE2Ja3wv1jPBGJmbz0Wi","Los Vasquez","Juana María","Sello del Sur",176,-1,1,"30791"
177,"spotify:track:4IaTGBLqlOee3S98dm4Zxx","Los Charros de Luchito y Rafael","Megamix","MOJO MUSICA",177,-1,1,"30774"
178,"spotify:track:1ksna7ji7FVlKDpq6FUHSE","Grupo Red","Amor De Adolescentes","Leader Music",177,-1,2,"30651"
179,"spotify:track:4SJHHpKhcuXwDsCsPqshXj","Rauw Alejandro, Chencho Corleone","El Efecto","Duars Entertainment, Corp.",64,84,290,"30649"
